"Year","Heavy","Light","Fuel_Type","Total_vehicle","Share_Light","Share_Heavy"
"2018",292958,26685840,"Gasoline",26978798,0.989141176712172,0.0108588232878277
"2019",292958,26685840,"Gasoline",26978798,0.989141176712172,0.0108588232878277
"2020",295136,26690183,"Gasoline",26985319,0.989063090193598,0.0109369098064025
"2021",261439,23661814,"Gasoline",23923253,0.989071762105262,0.0109282378947378
"2022",265796,24741892,"Gasoline",25007688,0.989371428498308,0.0106285715016918
"2018",704568,577819,"Diesel",1282387,0.45058083090362,0.54941916909638
"2019",704568,577819,"Diesel",1282387,0.45058083090362,0.54941916909638
"2020",694293,577045,"Diesel",1271338,0.453887951119215,0.546112048880785
"2021",616207,541294,"Diesel",1157501,0.467640200742807,0.532359799257193
"2022",702098,554805,"Diesel",1256903,0.441406377421328,0.558593622578672
"2018",0,1079558,"Hybrid Gas",1079558,1,0
"2019",0,1079558,"Hybrid Gas",1079558,1,0
"2020",0,1123090,"Hybrid Gas",1123090,1,0
"2021",122,1180332,"Hybrid Gas",1180454,0.999896649932992,0.000103350067008117
"2022",117,1282219,"Hybrid Gas",1282336,0.999908760262521,0.0000912397374791006
"2018",20455,14527,"Natural Gas",34982,0.415270710651192,0.584729289348808
"2019",20455,14527,"Natural Gas",34982,0.415270710651192,0.584729289348808
"2020",17211,11885,"Natural Gas",29096,0.408475391806434,0.591524608193566
"2021",7558,2042,"Natural Gas",9600,0.212708333333333,0.787291666666667
"2022",22265,7738,"Natural Gas",30003,0.257907542579075,0.742092457420925
"2018",28625,1290066,"Flex Fuel",1318691,0.978292867699863,0.021707132300137
"2019",28625,1290066,"Flex Fuel",1318691,0.978292867699863,0.021707132300137
"2020",30495,1226797,"Flex Fuel",1257292,0.975745491103101,0.024254508896899
"2021",35234,1010212,"Flex Fuel",1045446,0.966297637563298,0.0337023624367017
"2022",36645,995624,"Flex Fuel",1032269,0.964500532322486,0.0354994676775143
